Occupation,Level1Id,DescriptionLevel1
"LABOURER GAS WORKS",8,"PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE"
"BRICKLAYERS LABOURER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"SAW MILLS LABOURER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"CARMAN BUILDERS",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CHARWOMAN,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"ALPHALTER PAVIOR",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
LABOURER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"LAMP LIGHTER",8,"PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE"
"BOOT MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
"CASTING CONTRUCTOR CARMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CONDUCTORS LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"CARMAN DRAPERY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"MACHINIST LOCO RLY DEPT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
LAUNDRESS,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
LAUNDRESS,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
LAUNDRESS,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"LAUNDRY MAID",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"LAUNDRY MAID",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"LAUNDRY MAID",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"TOBACCONIST CONFR",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PROPERTY NONE",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"IRONER AT LAUNDRY",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"ELECTRICAL WIREMAN",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"TRUNK MAKER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"INDOOR MESSENGER",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BUS HORSEKEEPER OUT OF WORK",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CALENDER HAND LAUNDRY",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"BAKER BREAD MAKING",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"CAPSTAN - MAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PLUMBERS LABOURER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"IMPROVER DRESSMAKING",15,"PERSONS WORKING AND DEALING IN DRESS"
"CABINET MAKING",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"SCHOOL PART TIME ERRAND BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CHARWOMAN,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
LABOURER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"DRESSMAKER'S ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"PHONOGRAPH AND FANCY JEWELLERY DEALER",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
"KITCHEN MAID",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"TELEGRAPH MESSENGER",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BOOT REPAIRER DEALER",15,"PERSONS WORKING AND DEALING IN DRESS"
"SERVANT GENERAL",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"DRESSMAKING ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CLERK IN HOLE ORDERS",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"SERVANT PARLOUR MAID",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"SERVANT COOK DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"RETIRED SCHOOLMISTRESS",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"ELEMENTARY TEACHER",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
CARETAKER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"CARPENTER AND JOINER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"CARMAN FURN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
GARDENER,2,"PERSONS ENGAGED IN AGRICULTURE"
"BUILDERS LABOURER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"WAITRESS RESTAURANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"DOMESTIC HOME",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"ELECTRIC WIREMAN",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"HEAD WAITER DANCING ROOMS",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"WAITER DANCING ROOMS",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"ASSISTANT LIBRARIAN",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"ROAD SWEEPER",8,"PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE"
"ENGINE DRIVER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
IRONER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"IRONER LAUNDRESS",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"GAS FITTERS MATE",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
LAUNDRESS,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"KITCHEN PORTER",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"COOK GENERAL",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"DRESS MAKER ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"PAPER HANGER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"GROCER ASST",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"GREEN GROCERS ASST",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"TIN PLATE WORKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
LAUNDRY,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"ENGINE CLEANER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"ENGRAVER CRASS PLATE",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
HORSEKEEPER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"MOTOR STORE KEEPER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"MOTOR STORE KEEPER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"OFFICE BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CARPET PLANNER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"IRON WORKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"POLICE PENSIONER MET",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"WOOD BLOCK FLOOR LAYER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
NEEDLEWOMAN,15,"PERSONS WORKING AND DEALING IN DRESS"
"FITTER'S MATE",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
GARDENER,2,"PERSONS ENGAGED IN AGRICULTURE"
"SCHOOL BOY",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"SCHOOL GIRL",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MOTOR CAR DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
LAMPLIGHTER,8,"PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE"
HORSEKEEPER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"LABOURER PETROL",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"ASSISTING IN THE BUSINESS PENNY BAZAAR",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
PHOTOGRAPER,10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"LABOURER GASWORKS",8,"PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY GUARD",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"FOREMAN GRAVEDIGGER",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
GRAVEDIGGER,10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"LAUNDRY ASSISTANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"ENGINEER TURNER AND FITTER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
LABOURER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"CEMETERY LABOURER",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"LAUNDRY ASSISTANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"ELECTRIC ENGINEERS WIREMAN",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"MACHINIST AT MOTOR WORKS",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"COACH BODY MAKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"CYCLE MECHANIC",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"PACKER AND SORTER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"GENERAL SERVANT DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
TRIMMER,21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
"SCHOOL NEWS BOY",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE CLEANING",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"PACKER AND SORTER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"MASONS LABORER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
GARDENER,2,"PERSONS ENGAGED IN AGRICULTURE"
LABOURER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"ASSISTANT BAKER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"GUN ENGRAVER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
BLACKSMITH,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"DRESSMAKER'S ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
UPHOLSTERESS,22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"OMNIBUS CONDUCTOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
INDUSTRY,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"OMNIBUS CONDUCTOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
MESSENGER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"OMNIBUS DRIVER HOUSE",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CARMAN DRAPERS",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"GREEN-GROCERS ASSISTANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"OLD AGE PENSIONER",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
MANGLING,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"MOTHERS HELP",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GROCERY MANAGER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CLARKE,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"SHOP ASSISTANT MUSIC",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"PRIVATE NURSE SICK",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"PRIVATE NURSE SICK",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"FRUITERERS ASSISTANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"ASST SUPERNT ASSURANCE COY",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
LABOURER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"WORK HOME",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"NO WORK",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PENTION PRIVATE MEANS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"KEPT BY CHILDREN",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"OLD AGE PENSIONER",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MILKMAN CARRIER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"BORO C LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
TAILORESS,15,"PERSONS WORKING AND DEALING IN DRESS"
"LICENCE VITTUALERS MANAGER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
CHARWOMAN,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"FRENCH POLISHER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
SHORTHAND-TYPIST,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"DRESSMAKERS ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"EX PACKER ROADMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
HOUSEWIFE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DRESSMAKER ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"BOAT REPAIRER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"TEA GROCER'S ERRAND BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"WASHING AND CHARING",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"GROCERY WAREHOUSEMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
BAKER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"BREAD MAKING",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"NO OCCUPATION PRIVATE MEANS G W R",11,"PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"SIGN WRITER AND HOUSE DECORATOR",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"POLICE CONSTABLE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"POST OFFICE PORTER",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"GARDENER DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"MONTHLY NURSE",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"BREAD-MAKING BAKER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
GARDNER,2,"PERSONS ENGAGED IN AGRICULTURE"
"STUDENT COMMERCIAL",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CHARWOMEN,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"SHIRT IRONER",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"NO OCCUPATION",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
WAREHOUSEMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"ASSISTANT IN CHEMICAL LABORATORY",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"POLICE CONSTABLE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MILK CARRIER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"SERVANT UNIVERSITY COLLEGE LABORATORY GOWER STREET",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
